ID,Title,Company,Location,Date Posted
engineer,Quality Engineer,Phillips-Medisize,Sokoto,PostedPosted 20 days ago
engineer,Electrical and Electronics Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 25 days ago
engineer,Electrical Engineer,Romax properties Limited,Lagos,PostedPosted 11 days ago
engineer,"Associate Engineer, Test Manufacturing",Celestica,Lagos,PostedPosted 14 days ago
engineer,PHP Software Engineer - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Software Backend Engineer,ING,Lagos,PostedPosted 30+ days ago
engineer,"MECHANICAL SUPERVISOR, CONTROL ENGINEER",Shiyali Hr Services,Nigeria,PostedPosted 30+ days ago
engineer,Site Engineer,Africonsult Architects Engineers Limited,Abuja,PostedPosted 20 days ago
engineer,Cost Engineer,Amaiden Energy Nigeria Limited,Rivers,PostedPosted 9 days ago
engineer,Information Technology Engineer,Cirrus Energy,Lagos,PostedPosted 30+ days ago
engineer,Sr Manufacturing Engineer Coyol,Boston Scientific Corporation,Cross River,PostedPosted 2 days ago
engineer,Full stack Engineer,STRAACOS,Lagos,PostedPosted 18 days ago
engineer,Process Engineer,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Well Engineering,Havilah Energy,Nigeria,PostedPosted 30+ days ago
engineer,Civil Engineer,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,Electrical Engineer Level I,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Reliability Engineer,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Field Engineer,Speedcast,Nigeria,PostedPosted 30+ days ago
engineer,"Engineer, Materials",Aurecon Group,Plateau,PostedPosted 30+ days ago
engineer,"UPS Field Engineer, Nigeria",Vertiv Group Corp,Lagos,PostedPosted 30+ days ago
engineer,Head Electrical Engineer H/F,SPIE,Nigeria,PostedPosted 17 days ago
engineer,Mechanical Maintenance Engineer,Alfred James Holdings Limited,Lagos,PostedPosted 18 days ago
engineer,"Technical Support Engineer, Port- Harcourt",Main One,Lagos,PostedPosted 4 days ago
engineer,Software Engineer (Intern),Wise Soft Lab,Nigeria,PostedPosted 30+ days ago
engineer,Well Engineer,Hobark International Limited,Rivers,PostedPosted 13 days ago
engineer,6 month University Internships: Field Engineering (Nigeria) –2024 opportunities,Baker Hughes,Port Harcourt,PostedPosted 30+ days ago
engineer,Instrument & Control Engineer,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,Mechanical Engineer,UNIC GROUP LTD,Abuja,PostedPosted 24 days ago
engineer,Mid-level QA Engineer,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,Petroleum Engineer,Nestoil,Lagos,PostedPosted 11 days ago
engineer,Managed Security Services Engineer,Main One,Lagos,PostedPosted 30+ days ago
engineer,Senior .NET Software Engineer,AltexSoft,Nigeria,PostedPosted 6 days ago
engineer,Manufacturing Engineer Supervisor,Boston Scientific Corporation,Cross River,PostedPosted 30+ days ago
engineer,Software Engineer,Priority Communications Ltd.,Lagos,PostedPosted 30+ days ago
engineer,Sr Quality Engineer Coyol,Boston Scientific Corporation,Cross River,PostedPosted 5 days ago
engineer,Quality Control Engineer (Insulation),Amaiden Energy Nigeria Limited,Rivers,PostedPosted 9 days ago
engineer,Senior Java Software Engineer - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Chief Engineer M/F,Bourbon,Nigeria,PostedPosted 30+ days ago
engineer,Engineering Project Manager,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,"Assistant Engineer, Instrumentation",Dangote Industries Limited,Nigeria,PostedPosted 30 days ago
engineer,Support Engineer,Cobranet Limited,Lagos,PostedPosted 17 days ago
engineer,Packet Core Support Engineer,Ericsson,Nigeria,PostedPosted 1 day ago
engineer,Electrical Design Engineer,JMG,Lagos,PostedPosted 30+ days ago
engineer,Civil Engineer,Romax properties Limited,Lagos,PostedPosted 30+ days ago
engineer,Fiber Optics Engineer,BlueChip Communications Limited,Lagos,PostedPosted 26 days ago
engineer,Mid-level Software Engineers,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,Senior Fullstack Engineer,Top Remote Talent,Abuja,PostedPosted 25 days ago
engineer,Software Engineer,GODP CONSULTING,Lagos,PostedPosted 12 days ago
engineer,Production Engineer,Dangote Group,Kogi,PostedPosted 3 days ago
engineer,Electrical Engineer,Powerfield Consulting,Lagos,PostedPosted 4 days ago
engineer,Solutions Engineer,Authority Wit,Nigeria,PostedPosted 25 days ago
engineer,Mid-level Devops Engineer,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,Feature Engineer,ING,Lagos,PostedPosted 20 days ago
engineer,Network Engineer,C3PROJECT,Nigeria,PostedPosted 4 days ago
engineer,Marine Engineer II,Scruples Resources Limited,Rivers,PostedPosted 4 days ago
engineer,Electrical Engineer,Dogan’s Sugar Limited,Lagos,PostedPosted 6 days ago
engineer,"Senior Engineer, Mines",Dangote Industries Limited,Nigeria,PostedPosted 30+ days ago
engineer,Civil Engineer,Phillips OutSourcing,Delta,PostedPosted 12 days ago
engineer,Systems Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 19 days ago
engineer,Mechanical Engineer,Jaykay Group,Kano,PostedPosted 4 days ago
engineer,Senior Software Engineer,Recruitment Room,Lagos,PostedPosted 25 days ago
engineer,Civil Engineer,Mosra Enerji Limited,Delta,PostedPosted 2 days ago
engineer,Senior Project Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Graduate Engineer (EU Rotation),Phillips-Medisize,Sokoto,PostedPosted 30+ days ago
engineer,Civil Engineer,ARKHIVE REALTY,Abuja,PostedPosted 30+ days ago
engineer,Manager Engineering and Projects,Cainergy International,Lagos,PostedPosted 13 days ago
engineer,Software Quality Assurance Engineer,eTranzact Nigeria,Lagos,PostedPosted 5 days ago
engineer,Electrical Electronics Engineer,Castel Resources Consultancy,Port Harcourt,PostedPosted 30+ days ago
engineer,Electrical Method Engineer,SPIE,Lagos,PostedPosted 30+ days ago
engineer,"Associate Engineer, Manufacturing Process",Celestica,Lagos,PostedPosted 30+ days ago
engineer,"Failure Analysis Engineer, SHS (Lagos, Nigeria)",Sun King,Nigeria,PostedPosted 13 days ago
engineer,Infrastructure / Cloud / DevOps Engineer (Junior Associate),Bincom ICT Solutions,Lagos,PostedPosted 30+ days ago
engineer,Software Engineer,fonYou,Lagos,PostedPosted 30+ days ago
engineer,Facilities/Process Engineer,ASPEN Energy Nigeria Limited,Lagos,PostedPosted 11 days ago
engineer,Senior Specialist: Senior Specialist: Machine Learning Engineer,Vodafone,Zamfara,PostedPosted 4 days ago
engineer,DevOps Engineer,TUA,Lagos,PostedPosted 30+ days ago
engineer,Network Engineer,United Geophysical,Lagos,PostedPosted 30+ days ago
engineer,DevOps Engineer,Renmoney,Lagos,PostedPosted 6 days ago
engineer,Physics/Engineer,Dmholdings Ltd,Lagos,PostedPosted 30+ days ago
engineer,Engineer,SOLAR PRO ENERGY LTD,Kano,PostedPosted 30 days ago
engineer,Projects Engineer,Cemex Portals,Lagos,PostedPosted 10 days ago
engineer,Lead Electrical Engineer (Future projects),Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Service Engineer,ABB,Lagos,PostedPosted 30+ days ago
engineer,Electrical Field Engineer,PATROSE ADVANCED ENGINEERING LTD,Lagos,PostedPosted 30+ days ago
engineer,Head Electrical Engineer M/F H/F,SPIE,Nigeria,PostedPosted 30+ days ago
engineer,Reservoir Engineer,The Impeccable Skills Company,Port Harcourt,PostedPosted 30+ days ago
engineer,Service Fulfilment Engineer,IpNX Nigeria Limited,Rivers,PostedPosted 4 days ago
engineer,Civil Engineer,Fifth Quadrant Performance Ltd,Lagos,PostedPosted 10 days ago
engineer,Mud/Drilling Fluid Engineer -Office Based,MAXIMEDGE TECHNOLOGY AND CONSULTING LIMITED,Port Harcourt,PostedPosted 30+ days ago
engineer,Software Engineer (Backend),Gomoney,Lagos,PostedPosted 5 days ago
engineer,Support Engineer,Alfred & Victoria Associates,Lagos,PostedPosted 9 days ago
engineer,Drilling Engineer,Rit-beulah Engineering Services Limited,Lagos,PostedPosted 30+ days ago
engineer,Biomedical Technician/Engineer,AAA Caliberations Ltd,Lagos,PostedPosted 30+ days ago
engineer,"Failure Analysis Engineer - Inverters, Lagos (Nigeria)",Sun King,Nigeria,PostedPosted 13 days ago
engineer,Tooling Engineer,Phillips-Medisize,Sokoto,PostedPosted 30+ days ago
engineer,Senior Software Engineer,TreeTop Consulting,Lagos,PostedPosted 12 days ago
engineer,Software Engineer (Frontend),Reliance Health,Lagos,PostedPosted 2 days ago
engineer,Product Development Engineer/ Product Development Scientist,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Renewable Energy Engineer,APTEC Engineers Technical Services (AETS),Port Harcourt,PostedPosted 30+ days ago
engineer,Quality Assurance/Cyber Security Engineer,HelloMe Limited,Lagos,PostedPosted 6 days ago
engineer,SYSTEMS COMPLETION ENGINEER/SPECIALIST III,Scruples Resources,Lagos,PostedPosted 5 days ago
engineer,Senior Engineer - System Integration,Optiva,Nigeria,PostedPosted 30+ days ago
engineer,Hardware Engineer,Coniah Systems Support Limited,Lagos,PostedPosted 18 days ago
engineer,"Sales Engineer, CBS - West Africa",Grundfos Holding A/S,Lagos,PostedPosted 7 days ago
engineer,Fiber Engineer Supervisor,Legend Internet Limited,Abuja,PostedPosted 15 days ago
engineer,Solar Engineer,Bestcom Global Industry Nig.LTD,Lagos,PostedPosted 30+ days ago
engineer,Sr Quality Engineer,Boston Scientific Corporation,Cross River,PostedPosted 30+ days ago
engineer,Lead Piping Engineer (Future Projects),Worley,Abeokuta,PostedPosted 30+ days ago
engineer,"Engineer II, Quality (Shift B)",Boston Scientific Corporation,Cross River,PostedPosted 30+ days ago
engineer,Lead Safety & Risk Engineer (Future projects),Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Architectural/Mechanical Engineer,Elite Logistics Development Services Limited,Lagos,PostedPosted 30+ days ago
engineer,Principal Safety Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Hardware systems engineer.,Coniah Systems Support Limited,Lagos,PostedPosted 30+ days ago
engineer,Software Test Engineer,Tecnotree,Lagos,PostedPosted 4 days ago
engineer,Data Center Facility Engineers,Main One,Lagos,PostedPosted 30+ days ago
engineer,Microsoft BI Developer Quality Assurance Engineer,NewGlobe,Lagos,PostedPosted 5 days ago
engineer,Mechanical Engineer,JxWorx Software and Automation Limited,Port Harcourt,PostedPosted 30+ days ago
engineer,OCONUS Mechanical Engineer,Markon Solutions,Lagos,PostedPosted 30+ days ago
engineer,Solutions Support Engineer,Parkway Projects,Yaba,PostedPosted 30+ days ago
engineer,"Presales Engineer | Lagos, Nigeria",Genese Solution,Lagos,PostedPosted 25 days ago
engineer,QA Automation Engineer,ING,Lagos,PostedPosted 30+ days ago
engineer,Design Engineering,VIASTORE,Enugu,PostedPosted 30+ days ago
engineer,Lead Offshore Structural Engineer (Future Projects),Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Principal Instrumentation Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Nokia Nigeria Recruitment for Network Infrastructure DS Engineer Intern,Nokia Nigeria,Lagos,PostedPosted 2 days ago
engineer,Quality Engineer,Danfoss,Plateau,PostedPosted 30+ days ago
engineer,Senior Construction Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Senior Software Engineer,Bincom ICT Solutions,Lagos,PostedPosted 30+ days ago
engineer,Senior Full Stack Engineer,AltexSoft,Nigeria,PostedPosted 30+ days ago
engineer,Data & ML Engineer,TUA,Lagos,PostedPosted 30+ days ago
engineer,Quality Facility Engineer,Ogeyi Place Hotels Limited,Port Harcourt,PostedPosted 5 days ago
engineer,MarTech Specialist Engineer,ING,Lagos,PostedPosted 30+ days ago
engineer,Senior Instrumentation Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Mechanical Field Engineer,PATROSE ADVANCED ENGINEERING LTD,Lagos,PostedPosted 30+ days ago
engineer,Chief Electrical Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Electronics Design Engineer,EN1 TECHNOLOGIES,Lagos,PostedPosted 6 days ago
engineer,Project /Admin Engineer,Nexant Consulting,Lagos,PostedPosted 30+ days ago
engineer,Telecom Project Engineer M/F,SPIE,Lagos,PostedPosted 30+ days ago
engineer,Contracts Engineer,Aspire Capital Group,Lagos,PostedPosted 30+ days ago
engineer,Chief Process Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Java Senior Engineering Manager - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Head Instrument Engineer M/F H/F,SPIE,Nigeria,PostedPosted 30+ days ago
engineer,Lead Instrumentation Engineer (Future projects),Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Chief Mechanical Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Electrical/Electronic Engineer,Technautic nigeria limited,Lagos,PostedPosted 30+ days ago
engineer,Civil Engineer,CANDIX ENGINEERING NIGERIA LTD,Port Harcourt,PostedPosted 30+ days ago
engineer,Chief Civil Structural Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Graduate Electrical Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Early Career: LEAD - Field Engineer (Nigeria) 2024 opportunities,Baker Hughes,Port Harcourt,PostedPosted 30+ days ago
engineer,Experienced Triggerfish System Engineer,United Geophysical,Lagos,PostedPosted 30+ days ago
engineer,Civil/ Structural Engineer,Elite Logistics Development Services Limited,Lagos,PostedPosted 30+ days ago
engineer,Senior Data Engineer (Snowflake Cloud Data Warehousing),Jobberman (Third Party Recruitment),Lagos,PostedPosted 18 days ago
engineer,Fiber Engineer,BT Technologies Limited,Abuja,PostedPosted 9 days ago
engineer,Associate Data & ML Engineer,TUA,Lagos,PostedPosted 30+ days ago
engineer,Civil Engineering Manager,BlockMaster Ltd,Ibadan,PostedPosted 30+ days ago
engineer,ITSM & MCR Engineer Manager,ING,Lagos,PostedPosted 30+ days ago
engineer,Licensed Aircraft MTCE Engineer – Electrical & Avionics,Flying Doctors Nigeria,Lagos,PostedPosted 30+ days ago
engineer,Golang Backend Engineer,BFree,Lagos,PostedPosted 5 days ago
engineer,Sales Engineer,Hexagon Engineering Limited,Lagos,PostedPosted 26 days ago
engineer,Senior Electrical Engineer,Fifth Quadrant Performance Ltd,Lagos,PostedPosted 6 days ago
engineer,Systems Engineer Trainee (Internship),Bincom ICT Solutions,Lagos,PostedPosted 30+ days ago
engineer,Senior Business Intelligence Engineer,NewGlobe,Lagos,PostedPosted 30+ days ago
engineer,Infrastructure Engineer,Alfred & Victoria Associates,Lagos,PostedPosted 19 days ago
engineer,6 month University Placements and Internships – Applications Engineer (Nigeria) 2024,Baker Hughes,Bonny,PostedPosted 30+ days ago
engineer,Senior Database Engineer,Cavista,Abuja,PostedPosted 16 days ago
engineer,Senior Software Engineers,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,Technical Sales Engineer,Early Global Resources Ltd,Lagos,PostedPosted 30+ days ago
engineer,Senior Data Engineer,Flutterwave,Lagos,PostedPosted 10 days ago
engineer,Principal Process Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Junior Repair Engineer - Temporary Staff,Siemens Energy,Port Harcourt,PostedPosted 30+ days ago
engineer,Sales Engineer,Airchaels Nigeria Limited,Lagos,PostedPosted 30+ days ago
engineer,Engineer,Mornyray New energy Nigeria limited,Lagos,PostedPosted 30+ days ago
engineer,Principal Electrical Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Senior iOS Engineer,Carbon Nigeria,Lagos,PostedPosted 11 days ago
engineer,Pre -sales Engineer,Lopterra Services Limited,Lagos,PostedJust posted
engineer,Principal Mechanical Engineer,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Mechanical Engineer Level II,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Sales Engineer,Energy Excell Systems and Solutions Ltd,Abuja,PostedPosted 30+ days ago
engineer,Civil Engineer,Elite Logistics Development Services Limited,Lagos,PostedPosted 30+ days ago
engineer,Subsea Hardware Engineer III,Scruples Resources Limited,Lagos,PostedPosted 12 days ago
engineer,Senior Safety Engineer,Worley,Abeokuta,PostedPosted 12 days ago
engineer,SYSYEMS COMPLETION ENGINEER/ SPECIALIST III,Scruples Resources,Lagos,PostedPosted 30+ days ago
engineer,Senior Engineer Machinist,Egbin Power Plc,Lagos,PostedPosted 19 days ago
engineer,Safety Engineer Level II,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,PHP Senior Engineering Manager - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Backend Engineer,Niyo Group,Nigeria,PostedPosted 9 days ago
engineer,CLIENT SERVICES ELECTRICAL ENGINEERS,PSC SOLAR UK,Lagos,EmployerActive 11 days ago
engineer,Site Engineer,Asset Rise,Lagos,PostedPosted 4 days ago
engineer,Technical Support Engineer (Entry Level),Ash Nelson Partners,Lagos,EmployerActive 3 days ago
engineer,ELECTRICAL MAINTENANCE ENGINEER,Ascentech Services Ltd,Lagos,EmployerActive 5 days ago
engineer,QA engineer - Nigeria,RemotePass,Nigeria,PostedPosted 30+ days ago
engineer,Backend Engineer (NodeJS Serverless),MECHO AUTOTECH LIMITED,Lagos,EmployerActive 3 days ago
engineer,Maintenance Engineer(Mushin),Ascentech Services Ltd,Lagos,EmployerActive 2 days ago
engineer,Production Engineer,Amarilo plastic limited,Lagos,PostedPosted 16 days ago
engineer,Senior Software Engineer (Backend),Prunedge Development Technologies,Lagos,EmployerActive 5 days ago
engineer,Instrumentation Engineer (Bonny Island),Alpha Mead Group,Rivers,PostedPosted 23 days ago
engineer,Renewable Energy Engineer,"Sanford Federal, Inc.",Lagos,PostedPosted 30+ days ago
engineer,Tendering Engineer,Ukelma EPCIM Company,Port Harcourt,EmployerActive 3 days ago
engineer,NOC ENGINEER (EXPATRIATE),GLOBAL PROFILERS,Lagos,PostedPosted 4 days ago
engineer,Structural Engineers,MEGAMOUND INVESTMENT,Lagos,PostedJust posted
engineer,"Senior Backend Engineer - India, Ethiopia, Nigeria, Ghana, Cote d'Ivoire",Resolve To Save Lives,Nigeria,PostedPosted 16 days ago
engineer,Civil Engineer/Architect,Kimberly Ryan Limited,Lagos,EmployerActive 3 days ago
